Date,Bitcoin,Gold,NASDAQ,Treasury Yield 10Years
7/17/2017,0.021719914,0.081247896,0.083300723,0.484605087
7/18/2017,0.023074476,0.090562226,0.086112058,0.472289157
7/19/2017,0.022393976,0.090674447,0.089944256,0.473627845
7/20/2017,0.030541569,0.094714398,0.090410928,0.473092369
7/21/2017,0.028298087,0.105375379,0.09019923,0.46398929
7/22/2017,0.030429575,0.105375379,0.09019923,0.46398929
7/23/2017,0.029235963,0.105375379,0.09019923,0.46398929
7/24/2017,0.029602194,0.104926495,0.092368902,0.469879518
7/25/2017,0.026931396,0.102457637,0.092496849,0.489156627
7/26/2017,0.026227238,0.099427674,0.093492306,0.477376171
7/27/2017,0.028358277,0.111323084,0.089676096,0.484872825
7/28/2017,0.030412954,0.121198519,0.088969518,0.479250335
7/29/2017,0.029176823,0.121198519,0.088969518,0.479250335
7/30/2017,0.029636927,0.121198519,0.088969518,0.479250335
7/31/2017,0.031406081,0.119178543,0.086470538,0.480053548
8/1/2017,0.029054199,0.125911794,0.087864904,0.469076305
8/2/2017,0.028940556,0.125014028,0.087837615,0.472021419
8/3/2017,0.030348871,0.120525194,0.085738509,0.46291834
8/4/2017,0.031713764,0.109864213,0.086794195,0.473360107
8/5/2017,0.037059249,0.109864213,0.086794195,0.473360107
8/6/2017,0.036475771,0.109864213,0.086794195,0.473360107
8/7/2017,0.038946235,0.109751992,0.089824762,0.470682731
8/8/2017,0.039560108,0.107732017,0.088572447,0.477643909
8/9/2017,0.038400188,0.126360678,0.086866644,0.466398929
8/10/2017,0.038981272,0.138368309,0.074121503,0.458634538
8/11/2017,0.043013969,0.142857143,0.077855845,0.452476573
8/12/2017,0.046518881,0.142857143,0.077855845,0.452476573
8/13/2017,0.049341948,0.142857143,0.077855845,0.452476573
8/14/2017,0.053113072,0.138929413,0.085728172,0.460508701
8/15/2017,0.050969013,0.127146224,0.085048837,0.473092369
8/16/2017,0.053884156,0.130737291,0.08618731,0.462382865
8/17/2017,0.053211293,0.141398272,0.074595709,0.455153949
8/18/2017,0.050649948,0.140612726,0.074089481,0.453815261
8/19/2017,0.05114524,0.140612726,0.074089481,0.453815261
8/20/2017,0.049557551,0.140612726,0.074089481,0.453815261
8/21/2017,0.048271114,0.146335989,0.073769592,0.450066934
8/22/2017,0.049750099,0.139939401,0.081705914,0.459437751
8/23/2017,0.050513697,0.144203793,0.079911675,0.447657296
8/24/2017,0.053256064,0.141510493,0.079245525,0.453815261
8/25/2017,0.053808848,0.148243744,0.078710171,0.447121821
8/26/2017,0.053521373,0.148243744,0.078710171,0.447121821
8/27/2017,0.053977735,0.148243744,0.078710171,0.447121821
8/28/2017,0.053974445,0.16754573,0.080345407,0.444444444
8/29/2017,0.056914445,0.171361239,0.082120857,0.438286479
8/30/2017,0.056709019,0.165750196,0.088370167,0.440160643
8/31/2017,0.058776577,0.174840085,0.09404838,0.434270415
9/1/2017,0.061600686,0.184154416,0.094675939,0.443908969
9/2/2017,0.056910701,0.184154416,0.094675939,0.443908969
9/3/2017,0.056973435,0.184154416,0.094675939,0.443908969
9/4/2017,0.051783217,0.184154416,0.094675939,0.443908969
9/5/2017,0.053882658,0.200650881,0.089053223,0.420615797
9/6/2017,0.057185448,0.194703176,0.090722364,0.430789826
9/7/2017,0.057226769,0.207271911,0.091151411,0.418206158
9/8/2017,0.051670024,0.208281899,0.087606162,0.418206158
9/9/2017,0.051629748,0.208281899,0.087606162,0.418206158
9/10/2017,0.050085782,0.208281899,0.087606162,0.418206158
9/11/2017,0.050659679,0.191448771,0.09438706,0.435341365
9/12/2017,0.050203617,0.188082146,0.096458877,0.447657296
9/13/2017,0.046487141,0.182919987,0.097014951,0.454082999
9/14/2017,0.035592543,0.184378858,0.09408789,0.454618474
9/15/2017,0.042817827,0.179553361,0.095912267,0.455957162
9/16/2017,0.042630971,0.179553361,0.095912267,0.455957162
9/17/2017,0.041999727,0.179553361,0.095912267,0.455957162
9/18/2017,0.049221269,0.163730221,0.096492782,0.463186078
9/19/2017,0.047121674,0.163618,0.09712126,0.466934404
9/20/2017,0.046836897,0.17012681,0.096624496,0.476037483
9/21/2017,0.042720806,0.146111548,0.093486656,0.476305221
9/22/2017,0.042715714,0.14914151,0.093884646,0.472021419
9/23/2017,0.045136768,0.14914151,0.093884646,0.472021419
9/24/2017,0.043496382,0.14914151,0.093884646,0.472021419
9/25/2017,0.047138146,0.164291325,0.088584667,0.460776439
9/26/2017,0.046633273,0.153293682,0.089485118,0.463186078
9/27/2017,0.051249594,0.138031646,0.096362906,0.484605087
9/28/2017,0.050861208,0.140388284,0.096380823,0.484605087
9/29/2017,0.050686627,0.13589945,0.100380477,0.489156627
9/30/2017,0.0533164,0.13589945,0.100380477,0.489156627
10/1/2017,0.054290066,0.13589945,0.100380477,0.489156627
10/2/2017,0.054373607,0.126024015,0.102333766,0.49210174
10/3/2017,0.052998534,0.124677365,0.103744119,0.491298527
10/4/2017,0.051679155,0.127146224,0.104018848,0.490227577
10/5/2017,0.053162186,0.122881831,0.108791925,0.495582329
