time,price
11/20/2018,4451.87
11/21/2018,4602.17
11/22/2018,4365.94
11/23/2018,4347.11
11/24/2018,3880.76
11/25/2018,4009.97
11/26/2018,3779.13
11/27/2018,3820.72
11/28/2018,4257.42
11/29/2018,4278.846455
11/30/2018,4017.268457
12/1/2018,4214.671932
12/2/2018,4139.878064
12/3/2018,3894.130907
12/4/2018,3956.89387
12/5/2018,3753.994827
12/6/2018,3521.101724
12/7/2018,3419.9372
12/8/2018,3476.114715
12/9/2018,3614.234273
12/10/2018,3502.655996
12/11/2018,3424.588075
12/12/2018,3486.950144
12/13/2018,3313.677258
12/14/2018,3242.484763
12/15/2018,3236.761645
12/16/2018,3252.839026
12/17/2018,3545.864761
12/18/2018,3696.059128
12/19/2018,3745.950765
12/20/2018,4134.441203
12/21/2018,3896.543717
12/22/2018,4014.182514
12/23/2018,3998.980342
12/24/2018,4078.599195
12/25/2018,3815.49061
12/26/2018,3857.29752
12/27/2018,3654.833539
12/28/2018,3923.918594
12/29/2018,3820.408682
12/30/2018,3865.952577
12/31/2018,3742.700335
1/1/2019,3843.519967
1/2/2019,3943.409337
1/3/2019,3836.741319
1/4/2019,3857.717619
1/5/2019,3845.19446
1/6/2019,4076.632685
1/7/2019,4025.248287
1/8/2019,4030.847999
1/9/2019,4035.296369
1/10/2019,3678.924681
1/11/2019,3687.365482
1/12/2019,3661.30099
1/13/2019,3552.953068
1/14/2019,3706.05222
1/15/2019,3630.675225
1/16/2019,3655.006886
1/17/2019,3678.563976
1/18/2019,3657.839435
1/19/2019,3728.568365
1/20/2019,3601.013592
1/21/2019,3576.032439
1/22/2019,3604.577052
1/23/2019,3585.123066
1/24/2019,3600.865501
1/25/2019,3599.765888
1/26/2019,3602.460439
1/27/2019,3583.965763
1/28/2019,3470.450542
1/29/2019,3448.117022
1/30/2019,3486.181751
1/31/2019,3457.792747
2/1/2019,3487.945387
2/2/2019,3521.060787
2/3/2019,3464.013326
2/4/2019,3459.154146
2/5/2019,3466.357439
2/6/2019,3413.767718
2/7/2019,3399.471644
2/8/2019,3666.780351
2/9/2019,3671.203705
2/10/2019,3690.188244
2/11/2019,3648.430628
2/12/2019,3653.528645
2/13/2019,3632.070603
2/14/2019,3616.88097
2/15/2019,3620.810753
2/16/2019,3629.787491
2/17/2019,3673.836293
2/18/2019,3915.714473
2/19/2019,3947.094407
2/20/2019,3999.820509
2/21/2019,3954.118243
2/22/2019,4005.526604
2/23/2019,4142.52693
2/24/2019,3810.427431
2/25/2019,3882.696293
2/26/2019,3854.357936
2/27/2019,3851.04748
2/28/2019,3854.785282
3/1/2019,3859.583752
3/2/2019,3864.415107
3/3/2019,3847.175699
3/4/2019,3761.557018
3/5/2019,3896.375023
3/6/2019,3903.942583
3/7/2019,3911.484289
3/8/2019,3901.131624
3/9/2019,3963.313742
3/10/2019,3951.599828
3/11/2019,3905.22732
3/12/2019,3909.156209
3/13/2019,3906.717169
3/14/2019,3924.369118
3/15/2019,3960.911187
3/16/2019,4048.725904
3/17/2019,4025.22898
3/18/2019,4032.507385
3/19/2019,4071.1902
3/20/2019,4087.476299
3/21/2019,4029.326907
3/22/2019,4023.968162
3/23/2019,4035.826351
3/24/2019,4022.168282
3/25/2019,3963.070654
3/26/2019,3985.080803
3/27/2019,4087.06623
3/28/2019,4069.10715
3/29/2019,4098.374541
3/30/2019,4106.660085
3/31/2019,4105.404296
4/1/2019,4158.18307
4/2/2019,4879.877828
4/3/2019,4973.021815
4/4/2019,4922.798788
4/5/2019,5036.6811
4/6/2019,5059.817188
4/7/2019,5198.89699
4/8/2019,5289.77104
4/9/2019,5204.958378
4/10/2019,5324.551869
4/11/2019,5064.487672
4/12/2019,5089.538912
4/13/2019,5096.586563
4/14/2019,5167.722367
4/15/2019,5067.108472
4/16/2019,5235.559419
4/17/2019,5251.938189
4/18/2019,5298.385699
4/19/2019,5303.812616
4/20/2019,5337.886132
4/21/2019,5314.531453
4/22/2019,5399.36541
4/23/2019,5572.362061
4/24/2019,5464.866642
4/25/2019,5210.515559
4/26/2019,5279.348211
4/27/2019,5268.291063
4/28/2019,5285.139008
4/29/2019,5247.352537
4/30/2019,5350.726697
5/1/2019,5402.697091
5/2/2019,5505.283672
5/3/2019,5768.289407
5/4/2019,5831.167472
5/5/2019,5795.708429
5/6/2019,5746.807003
5/7/2019,5829.501516
5/8/2019,5982.457323
5/9/2019,6174.528689
5/10/2019,6378.848974
5/11/2019,7204.771697
5/12/2019,6972.371523
5/13/2019,7814.91514
5/14/2019,7994.416156
5/15/2019,8205.167495
5/16/2019,7884.909291
5/17/2019,7343.895717
5/18/2019,7271.207904
